keyword,definition,merged
ELECTRICAL,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.","Label: ELECTRICAL
Definition: The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely."
CATTLE/SHEEP,"Phylum Chordata. Class Mammalia. Order Artiodactyla. Family Bovidae. Cattle, commonly called cows, are large quadrupedal animals with odd-toed ungulate ruminants with cloven hooves","Label: CATTLE/SHEEP
Definition: Phylum Chordata. Class Mammalia. Order Artiodactyla. Family Bovidae. Cattle, commonly called cows, are large quadrupedal animals with odd-toed ungulate ruminants with cloven hooves"
DEER/MOOSE,"Phylum Chordata. Class Mammalia. Order Atiodactyla. Deer are ruminant, four legged animals with long powerful legs, a small tail, long ears. Deer distinguished by their antlers, which are temporary and can be regrown. Male deer possess antlers while generally females lack antlers.","Label: DEER/MOOSE
Definition: Phylum Chordata. Class Mammalia. Order Atiodactyla. Deer are ruminant, four legged animals with long powerful legs, a small tail, long ears. Deer distinguished by their antlers, which are temporary and can be regrown. Male deer possess antlers while generally females lack antlers."
TURBIDITY,"Measurement of the degree of scattering of light in water, related to the amount of suspended material in the water.","Label: TURBIDITY
Definition: Measurement of the degree of scattering of light in water, related to the amount of suspended material in the water."
Weather Forecast,"An assessment of the future state of the atmosphere with respect to precipitation, clouds, winds, and temperature.Such assessments are usually made by government or private meteorologists, often using numerical simulations. Such simulations are the result of representing the atmosphere mathematically as a fluid in motion.See also numerical weather prediction.","Label: Weather Forecast
Definition: An assessment of the future state of the atmosphere with respect to precipitation, clouds, winds, and temperature.Such assessments are usually made by government or private meteorologists, often using numerical simulations. Such simulations are the result of representing the atmosphere mathematically as a fluid in motion.See also numerical weather prediction."
AEROSOL FRACTION,"The fraction of liquid phase, 1 - x, which, after flashing to the atmosphere, remains suspended as an aerosol.","Label: AEROSOL FRACTION
Definition: The fraction of liquid phase, 1 - x, which, after flashing to the atmosphere, remains suspended as an aerosol."
TOTAL RUNOFF,"The total runoff is equal to the total precipitation less the losses caused by evapotranspiration, storage, and other such abtractions.","Label: TOTAL RUNOFF
Definition: The total runoff is equal to the total precipitation less the losses caused by evapotranspiration, storage, and other such abtractions."
NUNATAKS,"An exposed, often rocky element of a ridge, mountain, or peak not covered with ice or snow within (or at the edge of) an ice field or glacier. The term is typically used in areas where a permanent ice sheet is present. Nunataks present readily identifiable landmark reference points in glaciers or ice caps and are often named.","Label: NUNATAKS
Definition: An exposed, often rocky element of a ridge, mountain, or peak not covered with ice or snow within (or at the edge of) an ice field or glacier. The term is typically used in areas where a permanent ice sheet is present. Nunataks present readily identifiable landmark reference points in glaciers or ice caps and are often named."
ENTRAINMENT,"The process by which surface sediment is incorporated into a fluid flow (such as air, water or even ice ) as part of the operation of erosion.","Label: ENTRAINMENT
Definition: The process by which surface sediment is incorporated into a fluid flow (such as air, water or even ice ) as part of the operation of erosion."
ENTRAINMENT,"The process by which surface sediment is incorporated into a fluid flow (such as air, water or even ice ) as part of the operation of erosion.","Label: ENTRAINMENT
Definition: The process by which surface sediment is incorporated into a fluid flow (such as air, water or even ice ) as part of the operation of erosion."
